plan_name,price_usd,effective_monthly_fee_usd,annual_fee_usd,annual_discount_pct,served_model,monthly_tokens,raw_usd_per_mtok,benchmark_note,confidence,plan_id,plan_name_en,plan_gen,workload,unmetered,promo_until
Step Plan Pro (¥199),29.36,23.49,281.86,20.0,step-5-preview,5663700000,0.0051833009,[Pending DeepSWE],medium,stepfun_pro_cn,,,lowCache,False,
Step Plan Max (¥699),103.12,82.5,989.95,20.0,step-3.5-flash,173160200000,0.00059550126,[Pending DeepSWE],medium,stepfun_max_cn,,,lowCache,False,
Step Plan Max (¥699),103.12,82.5,989.95,20.0,step-3.7-flash,85883000000,0.0012006697,[Pending DeepSWE],medium,stepfun_max_cn,,,lowCache,False,
Step Plan Max (¥699),103.12,82.5,989.95,20.0,step-5-preview,28318600000,0.0036413211,[Pending DeepSWE],medium,stepfun_max_cn,,,lowCache,False,
MiMo Token Plan Lite 日间,6.0,6.0,72.0,0.0,mimo-v2.6-pro,317000000,0.018927445,[Pending DeepSWE],medium,mimo_token_lite_day,MiMo Token Plan Lite (Day),,standard,False,
MiMo Token Plan Lite 夜间0.8×,6.0,6.0,72.0,0.0,mimo-v2.6-pro,397000000,0.01511335,[Pending DeepSWE],medium,mimo_token_lite_night,MiMo Token Plan Lite (Night 0.8x),,standard,False,
MiMo Token Plan Lite 日间,6.0,6.0,72.0,0.0,mimo-v2.6-flash,754000000,0.0079575597,[Pending DeepSWE],medium,mimo_token_lite_day,MiMo Token Plan Lite (Day),,standard,False,
MiMo Token Plan Lite 夜间0.8×,6.0,6.0,72.0,0.0,mimo-v2.6-flash,942000000,0.0063694268,[Pending DeepSWE],medium,mimo_token_lite_night,MiMo Token Plan Lite (Night 0.8x),,standard,False,
MiMo Token Plan Lite 日间,6.0,6.0,72.0,0.0,mimo-v2.5-pro,317000000,0.018927445,[Pending DeepSWE],medium,mimo_token_lite_day,MiMo Token Plan Lite (Day),,standard,False,
MiMo Token Plan Lite 夜间0.8×,6.0,6.0,72.0,0.0,mimo-v2.5-pro,397000000,0.01511335,[Pending DeepSWE],medium,mimo_token_lite_night,MiMo Token Plan Lite (Night 0.8x),,standard,False,
MiMo Token Plan Lite 日间,6.0,6.0,72.0,0.0,mimo-v2.5,754000000,0.0079575597,[Pending DeepSWE],medium,mimo_token_lite_day,MiMo Token Plan Lite (Day),,standard,False,
MiMo Token Plan Lite 夜间0.8×,6.0,6.0,72.0,0.0,mimo-v2.5,942000000,0.0063694268,[Pending DeepSWE],medium,mimo_token_lite_night,MiMo Token Plan Lite (Night 0.8x),,standard,False,
MiMo Token Plan Standard 日间,16.0,16.0,192.0,0.0,mimo-v2.6-pro,851000000,0.01880141,[Pending DeepSWE],medium,mimo_token_standard_day,MiMo Token Plan Standard (Day),,standard,False,
MiMo Token Plan Standard 夜间0.8×,16.0,16.0,192.0,0.0,mimo-v2.6-pro,1064000000,0.015037594,[Pending DeepSWE],medium,mimo_token_standard_night,MiMo Token Plan Standard (Night 0.8x),,standard,False,
MiMo Token Plan Standard 日间,16.0,16.0,192.0,0.0,mimo-v2.6-flash,2022000000,0.0079129575,[Pending DeepSWE],medium,mimo_token_standard_day,MiMo Token Plan Standard (Day),,standard,False,
MiMo Token Plan Standard 夜间0.8×,16.0,16.0,192.0,0.0,mimo-v2.6-flash,2528000000,0.0063291139,[Pending DeepSWE],medium,mimo_token_standard_night,MiMo Token Plan Standard (Night 0.8x),,standard,False,
MiMo Token Plan Standard 日间,16.0,16.0,192.0,0.0,mimo-v2.5-pro,851000000,0.01880141,[Pending DeepSWE],medium,mimo_token_standard_day,MiMo Token Plan Standard (Day),,standard,False,
MiMo Token Plan Standard 夜间0.8×,16.0,16.0,192.0,0.0,mimo-v2.5-pro,1064000000,0.015037594,[Pending DeepSWE],medium,mimo_token_standard_night,MiMo Token Plan Standard (Night 0.8x),,standard,False,
MiMo Token Plan Standard 日间,16.0,16.0,192.0,0.0,mimo-v2.5,2022000000,0.0079129575,[Pending DeepSWE],medium,mimo_token_standard_day,MiMo Token Plan Standard (Day),,standard,False,
MiMo Token Plan Standard 夜间0.8×,16.0,16.0,192.0,0.0,mimo-v2.5,2528000000,0.0063291139,[Pending DeepSWE],medium,mimo_token_standard_night,MiMo Token Plan Standard (Night 0.8x),,standard,False,
MiMo Token Plan Pro 日间,50.0,50.0,600.0,0.0,mimo-v2.6-pro,2940000000,0.017006803,[Pending DeepSWE],medium,mimo_token_pro_day,MiMo Token Plan Pro (Day),,standard,False,
MiMo Token Plan Pro 夜间0.8×,50.0,50.0,600.0,0.0,mimo-v2.6-pro,3675000000,0.013605442,[Pending DeepSWE],medium,mimo_token_pro_night,MiMo Token Plan Pro (Night 0.8x),,standard,False,
